artist,country,language,place_final,points_final,title,year
Fud Leclerc,Belgium,French,2.0,0.0,Messieurs Les Noyés De La Seine,1956
Mony Marc,Belgium,French,2.0,0.0,Le Plus Beau Jour De Ma Vie,1956
Dany Dauberson,France,French,2.0,0.0,Il Est Là,1956
Mathé Altéry,France,French,2.0,0.0,Le Temps Perdu,1956
Freddy Quinn,Germany,German,2.0,0.0,So Geht Das Jede Nacht,1956
Walter Andreas Schwarz,Germany,German,2.0,0.0,Im Wartesaal Zum Großen Glück,1956
Franca Raimondi,Italy,Italian,2.0,0.0,Aprite Le Finestre,1956
Tonina Torielli,Italy,Italian,2.0,0.0,Amami Se Vuoi,1956
Michèle Arnaud,Luxembourg,French,2.0,0.0,Les Amants De Minuit,1956
Michèle Arnaud,Luxembourg,French,2.0,0.0,Ne Crois Pas,1956
Corry Brokken,Netherlands,Dutch,2.0,0.0,Voorgoed Voorbij,1956
Jetty Paerl,Netherlands,Dutch,2.0,0.0,De Vogels Van Holland,1956
Lys Assia,Switzerland,German,2.0,0.0,Das Alte Karussell,1956
Lys Assia,Switzerland,French,1.0,0.0,Refrain,1956
Bob Martin,Austria,German,10.0,3.0,"Wohin, Kleines Pony",1957
Bobbejaan Schoepen,Belgium,Dutch,8.0,5.0,Straatdeuntje,1957
Birthe Wilke and Gustav Winckler,Denmark,Danish,3.0,10.0,Skibet Skal Sejle I Nat,1957
Paule Desjardins,France,French,2.0,17.0,La Belle Amour,1957
Margot Hielscher,Germany,German,4.0,8.0,"Telefon, Telefon",1957
Nunzio Gallo,Italy,Italian,6.0,7.0,Corde Della Mia Chitarra,1957
Danièle Dupré,Luxembourg,French,4.0,8.0,Tant De Peine,1957
Corry Brokken,Netherlands,Dutch,1.0,31.0,Net Als Toen,1957
Lys Assia,Switzerland,French,8.0,5.0,L'enfant Que J'étais,1957
Patricia Bredin,United Kingdom,English,7.0,6.0,All,1957
Liane Augustin,Austria,German,5.0,8.0,Die Ganze Welt Braucht Liebe,1958
Fud Leclerc,Belgium,French,5.0,8.0,Ma Petite Chatte,1958
Raquel Rastenni,Denmark,Danish,8.0,3.0,Jeg Rev Et Blad Ud Af Min Dagbog,1958
André Claveau,France,French,1.0,27.0,Dors Mon Amour,1958
Margot Hielscher,Germany,German,7.0,5.0,Für Zwei Groschen Musik,1958
Domenico Modugno,Italy,Italian,3.0,13.0,Nel Blu Dipinto Di Blu,1958
Solange Berry,Luxembourg,French,9.0,1.0,Un Grand Amour,1958
Corry Brokken,Netherlands,Dutch,9.0,1.0,Heel De Wereld,1958
Alice Babs,Sweden,Swedish,4.0,10.0,Lilla Stjärna,1958
Lys Assia,Switzerland,"Italian,German",2.0,24.0,Giorgio,1958
Ferry Graf,Austria,German,9.0,4.0,Der K. Und K. Kalypso Aus Wien,1959
Bob Benny,Belgium,Dutch,6.0,9.0,Hou Toch Van Mij,1959
Birthe Wilke,Denmark,Danish,5.0,12.0,Uh-jeg Ville Ønske Jeg Var Dig,1959
Jean Philippe,France,French,3.0,15.0,"Oui, Oui, Oui, Oui",1959
Alice and Ellen Kessler,Germany,German,8.0,5.0,Heut' Woll'n Wir Tanzen Geh'n,1959
Domenico Modugno,Italy,Italian,6.0,9.0,Piove,1959
Jacques Pills,Monaco,French,11.0,1.0,Mon Ami Pierrot,1959
Teddy Scholten,Netherlands,Dutch,1.0,21.0,Een Beetje,1959
Brita Borg,Sweden,Swedish,9.0,4.0,Augustin,1959
Christa Williams,Switzerland,German,4.0,14.0,Irgendwoher,1959
Pearl Carr and Teddy Johnson,United Kingdom,English,2.0,16.0,Sing Little Birdie,1959
Harry Winter,Austria,German,7.0,6.0,Du Hast Mich So Fasziniert,1960
Fud Leclerc,Belgium,French,6.0,9.0,Mon Amour Pour Toi,1960
Katy Bødtger,Denmark,Danish,10.0,4.0,Det Var En Yndig Tid,1960
Jacqueline Boyer,France,French,1.0,32.0,Tom Pillibi,1960
Wyn Hoop,Germany,German,4.0,11.0,"Bonne Nuit, Ma Chérie!",1960
Renato Rascel,Italy,Italian,8.0,5.0,Romantica,1960
Camillo Felgen,Luxembourg,Letzeburgisch,13.0,1.0,So Laang We's Du Do Bast,1960
François Deguelt,Monaco,French,3.0,15.0,Ce Soir-là,1960
Rudi Carrell,Netherlands,Dutch,12.0,2.0,Wat Een Geluk,1960
Nora Brockstedt,Norway,Norwegian,4.0,11.0,Voi-voi,1960
Siw Malmkvist,Sweden,Swedish,10.0,4.0,Alla Andra Får Varann,1960
Anita Traversi,Switzerland,Italian,8.0,5.0,Cielo E Terra,1960
Bryan Johnson,United Kingdom,English,2.0,25.0,"Looking High, High, High",1960
Jimmy Makulis,Austria,German,15.0,1.0,Sehnsucht,1961
Bob Benny,Belgium,Dutch,15.0,1.0,"September, Gouden Roos",1961
Dario Campeotto,Denmark,Danish,5.0,12.0,Angelique,1961
Laila Kinnunen,Finland,Finnish,10.0,6.0,Valoa Ikkunassa,1961
Jean-Paul Mauric,France,French,4.0,13.0,Printemps (avril Carillonne),1961
Lale Andersen,Germany,German,13.0,3.0,Einmal Sehen Wir Uns Wieder,1961
Betty Curtis,Italy,Italian,5.0,12.0,Al Di Là,1961
Jean-Claude Pascal,Luxembourg,French,1.0,31.0,Nous Les Amoureux,1961
Colette Deréal,Monaco,French,10.0,6.0,"Allons, Allons Les Enfants",1961
Greetje Kauffeld,Netherlands,Dutch,10.0,6.0,Wat Een Dag,1961
Nora Brockstedt,Norway,Norwegian,7.0,10.0,Sommer I Palma,1961
Conchita Bautista,Spain,Spanish,9.0,8.0,Estando Contigo,1961
Lill-Babs,Sweden,Swedish,14.0,2.0,"April, April",1961
Franca di Rienzo,Switzerland,French,3.0,16.0,Nous Aurons Demain,1961
The Allisons,United Kingdom,English,2.0,24.0,Are You Sure?,1961
Ljiljana Petrovic,Yugoslavia,Serbian,8.0,9.0,Neke Davne Zvezde,1961
Eleonore Schwarz,Austria,German,13.0,0.0,Nur In Der Wiener Luft,1962
Fud Leclerc,Belgium,French,13.0,0.0,Ton Nom,1962
Ellen Winther,Denmark,Danish,10.0,2.0,Vuggevise,1962
Marion Rung,Finland,Finnish,7.0,4.0,Tipi-tii,1962
Isabelle Aubret,France,French,1.0,26.0,Un Premier Amour,1962
Conny Froboess,Germany,German,6.0,9.0,Zwei Kleine Italiener,1962
Claudio Villa,Italy,Italian,9.0,3.0,"Addio, Addio",1962
Camillo Felgen,Luxembourg,French,3.0,11.0,Petit Bonhomme,1962
François Deguelt,Monaco,French,2.0,13.0,Dis Rien,1962
De Spelbrekers,Netherlands,Dutch,13.0,0.0,Katinka,1962
Inger Jacobsen,Norway,Norwegian,10.0,2.0,"Kom Sol, Kom Regn",1962
Victor Balaguer,Spain,Spanish,13.0,0.0,Llámame,1962
Inger Berggren,Sweden,Swedish,7.0,4.0,Sol Och Vår,1962
Jean Philippe,Switzerland,French,10.0,2.0,Le Retour,1962
Ronnie Carroll,United Kingdom,English,4.0,10.0,Ring-a-ding Girl,1962
Lola Novakovic,Yugoslavia,"Serbo,Croatian",4.0,10.0,Ne Pali Svetlo U Sumrak,1962
Carmela Corren,Austria,"German,English",7.0,16.0,Vielleicht Geschieht Ein Wunder,1963
Jacques Raymond,Belgium,Dutch,10.0,4.0,Waarom,1963
Grethe and Jørgen Ingmann,Denmark,Danish,1.0,42.0,Dansevise,1963
Laila Halme,Finland,Finnish,13.0,0.0,Muistojeni Laulu,1963
Alain Barrière,France,French,5.0,25.0,Elle était Si Jolie,1963
Heidi Brühl,Germany,German,9.0,5.0,Marcel,1963
Emilio Pericoli,Italy,Italian,3.0,37.0,Uno Per Tutte,1963
Nana Mouskouri,Luxembourg,French,8.0,13.0,A Force De Prier,1963
Françoise Hardy,Monaco,French,5.0,25.0,L'amour S'en Va,1963
Annie Palmen,Netherlands,Dutch,13.0,0.0,Een Speeldoos,1963
Anita Thallaug,Norway,Norwegian,13.0,0.0,Solhverv,1963
José Guardiola,Spain,Spanish,12.0,2.0,Algo Prodigioso,1963
Monica Zetterlund,Sweden,Swedish,13.0,0.0,En Gång I Stockholm,1963
Esther Ofarim,Switzerland,French,2.0,40.0,T'en Va Pas,1963
Ronnie Carroll,United Kingdom,English,4.0,28.0,Say Wonderful Things,1963
Vice Vukov,Yugoslavia,Croatian,11.0,3.0,Brodovi,1963
Udo Jürgens,Austria,German,6.0,11.0,"Warum Nur, Warum?",1964
Robert Cogoi,Belgium,French,10.0,2.0,Près De Ma Rivière,1964
Bjørn Tidmand,Denmark,Danish,9.0,4.0,Sangen Om Dig,1964
Lasse Mårtenson,Finland,Finnish,7.0,9.0,Laiskotellen,1964
Rachel,France,French,4.0,14.0,Le Chant De Mallory,1964
Nora Nova,Germany,German,13.0,0.0,Man Gewöhnt Sich So Schnell An Das Schöne,1964
Gigliola Cinquetti,Italy,Italian,1.0,49.0,Non Ho L'étà,1964
Hugues Aufray,Luxembourg,French,4.0,14.0,Dès Que Le Printemps Revient,1964
Romuald,Monaco,French,3.0,15.0,Où Sont-elles Passées?,1964
Anneke Grönloh,Netherlands,Dutch,10.0,2.0,Jij Bent Mijn Leven,1964
Arne Bendiksen,Norway,Norwegian,8.0,6.0,Spiral,1964
António Calvário,Portugal,Portuguese,13.0,0.0,Oração,1964
"Tim, Nelly and Tony",Spain,Spanish,12.0,1.0,Caracola,1964
Anita Traversi,Switzerland,Italian,13.0,0.0,I Miei Pensieri,1964
Matt Monro,United Kingdom,English,2.0,17.0,I Love The Little Things,1964
Sabahudin Kurt,Yugoslavia,Bosnian,13.0,0.0,Zivot Je Sklopio Krug,1964
Udo Jürgens,Austria,German,4.0,16.0,"Sag Ihr, Ich Lass' Sie Grüßen",1965
Lize Marke,Belgium,Dutch,15.0,0.0,Als Het Weer Lente Is,1965
Birgit Brüel,Denmark,Danish,7.0,10.0,For Din Skyld,1965
Viktor Klimenko,Finland,Finnish,15.0,0.0,Aurinko Laskee Länteen,1965
Guy Mardel,France,French,3.0,22.0,N'avoue Jamais,1965
Ulla Wiesner,Germany,German,15.0,0.0,"Paradies, Wo Bist Du?",1965
Butch Moore,Ireland,English,6.0,11.0,I'm Walking The Streets In The Rain,1965
Bobby Solo,Italy,Italian,5.0,15.0,"Se Piangi, Se Ridi",1965
France Gall,Luxembourg,French,1.0,32.0,"Poupée De Cire, Poupée De Son",1965
Marjorie Noël,Monaco,French,9.0,7.0,Va Dire à L'amour,1965
Conny Van den bos,Netherlands,Dutch,11.0,5.0,Het Is Genoeg,1965
Kirsti Sparboe,Norway,Norwegian,13.0,1.0,Karusell,1965
Simone de Oliviera,Portugal,Portuguese,13.0,1.0,Sol De Inverno,1965
Conchita Bautista,Spain,Spanish,15.0,0.0,"Qué Bueno, Qué Bueno",1965
Ingvar Wixell,Sweden,Swedish,10.0,6.0,Absent Friend,1965
Yovanna,Switzerland,French,8.0,8.0,Non à Jamais Sans Toi,1965
Kathy Kirby,United Kingdom,English,2.0,26.0,I Belong,1965
Vice Vukov,Yugoslavia,Croatian,12.0,2.0,Ceznja,1965
Udo Jürgens,Austria,German,1.0,31.0,Merci Chérie,1966
Tonia,Belgium,French,4.0,14.0,"Un Peu De Poivre, Un Peu De Sel",1966
Ulla Pia,Denmark,Danish,14.0,4.0,"Stop, Ja Stop - Ja Stop, Mens Legen Er Go",1966
Ann-Christine Nyström,Finland,Finnish,10.0,7.0,Play-boy,1966
Dominique Walter,France,French,16.0,1.0,Chez Nous,1966
Margot Eskens,Germany,German,10.0,7.0,Die Zeiger Der Uhr,1966
Dickie Rock,Ireland,English,4.0,14.0,Come Back To Stay,1966
Domenico Modugno,Italy,Italian,17.0,0.0,Dio Come Ti Amo,1966
Michèle Torr,Luxembourg,French,10.0,7.0,Ce Soir Je T'attendais,1966
Tereza,Monaco,French,17.0,0.0,Bien Plus Fort,1966
Milly Scott,Netherlands,Dutch,15.0,2.0,Fernando En Philippo,1966
Åse Kleveland,Norway,Norwegian,3.0,15.0,Intet Er Nytt Under Solen,1966
Madalena Iglesias,Portugal,Portuguese,13.0,6.0,Ele E Ela,1966
Raphael,Spain,Spanish,7.0,9.0,Yo Soy Aquél,1966
Lill Lindfors and Svante Thuresson,Sweden,Swedish,2.0,16.0,Nygammal Vals Eller Hip Man Svinaherde,1966
Madeleine Pascal,Switzerland,French,6.0,12.0,Ne Vois-tu Pas?,1966
Kenneth McKellar,United Kingdom,English,9.0,8.0,A Man Without Love,1966
Berta Ambroz,Yugoslavia,Slovenian,7.0,9.0,Brez Besed,1966
Peter Horten,Austria,German,14.0,2.0,Warum Es Hunderttausend Sterne Gibt,1967
Louis Neefs,Belgium,Dutch,7.0,8.0,Ik Heb Zorgen,1967
Fredi,Finland,Finnish,12.0,3.0,Varjoon-suojaan,1967
Noëlle Cordier,France,French,3.0,20.0,Il Doit Faire Beau Là-bas,1967
Inge Brück,Germany,German,8.0,7.0,Anouschka,1967
Sean Dunphy,Ireland,English,2.0,22.0,If I Could Choose,1967
Claudio Villa,Italy,Italian,11.0,4.0,Non Andare Più Lontano,1967
Vicky,Luxembourg,French,4.0,17.0,L'amour Est Bleu,1967
Minouche Barelli,Monaco,French,5.0,10.0,Boum-badaboum,1967
Thérèse Steinmetz,Netherlands,Dutch,14.0,2.0,Ring-dinge,1967
Kirsti Sparboe,Norway,Norwegian,14.0,2.0,Dukkemann,1967
Eduardo Nascimento,Portugal,Portuguese,12.0,3.0,O Vento Mudou,1967
Raphael,Spain,Spanish,6.0,9.0,Hablemos Del Amor,1967
Östen Warnebring,Sweden,Swedish,8.0,7.0,Som En Dröm,1967
Géraldine,Switzerland,French,17.0,0.0,Quel Coeur Vas-tu Briser?,1967
Sandie Shaw,United Kingdom,English,1.0,47.0,Puppet On A String,1967
Lado Leskovar,Yugoslavia,Slovenian,8.0,7.0,Vse Roze Sveta,1967
Karel Gott,Austria,German,13.0,2.0,Tausend Fenster,1968
Claude Lombard,Belgium,French,7.0,8.0,Quand Tu Reviendras,1968
Kristina Hautala,Finland,Finnish,16.0,1.0,Kun Kello Käy,1968
Isabelle Aubret,France,French,3.0,20.0,La Source,1968
Wencke Myhre,Germany,German,6.0,11.0,Ein Hoch Der Liebe,1968
Pat McGeegan,Ireland,English,4.0,18.0,Chance Of A Lifetime,1968
Sergio Endrigo,Italy,Italian,10.0,7.0,Marianne,1968
Chris Baldo and Sophie Garel,Luxembourg,French,11.0,5.0,Nous Vivrons D'amour,1968
Line and Willy,Monaco,French,7.0,8.0,A Chacun Sa Chanson,1968
Ronnie Tober,Netherlands,Dutch,16.0,1.0,Morgen,1968
Odd Børre,Norway,Norwegian,13.0,2.0,Stress,1968
Carlos Mendes,Portugal,Portuguese,11.0,5.0,Verão,1968
Massiel,Spain,Spanish,1.0,29.0,"La, La, La...",1968
Claes-Göran Hederström,Sweden,Swedish,5.0,15.0,"Det Börjar Verka Kärlek, Banne Mej",1968
Gianni Mascolo,Switzerland,Italian,13.0,2.0,Guardando Il Sole,1968
Cliff Richard,United Kingdom,English,2.0,28.0,Congratulations,1968
Luci Kapurso and Hamo Hajdarhodzic,Yugoslavia,Croatian,7.0,8.0,Jedan Dan,1968
Louis Neefs,Belgium,Dutch,7.0,10.0,Jennifer Jennings,1969
Jarkko and Laura,Finland,Finnish,12.0,6.0,Kuin Silloin Ennen,1969
Frida Boccara,France,French,1.0,18.0,"Un Jour, Un Enfant",1969
Siw Malmkvist,Germany,German,9.0,8.0,Primaballerina,1969
Muriel Day and the Lindsays,Ireland,English,7.0,10.0,The Wages Of Love,1969
Iva Zanicchi,Italy,Italian,13.0,5.0,Due Grosse Lacrime Bianche,1969
Romuald,Luxembourg,French,11.0,7.0,Cathérine,1969
Jean-Jacques,Monaco,French,6.0,11.0,"Maman, Maman",1969
Lenny Kuhr,Netherlands,Dutch,1.0,18.0,De Troubadour,1969
Kirsti Sparboe,Norway,Norwegian,16.0,1.0,"Oj, Oj, Oj, Så Glad, Jeg Skal Bli",1969
Simone de Oliveira,Portugal,Portuguese,15.0,4.0,Desfolhada Portuguesa,1969
Salomé,Spain,Spanish,1.0,18.0,Vivo Cantando,1969
Tommy Körberg,Sweden,Swedish,9.0,8.0,"Judy, Min Vän",1969
Paola del Medico,Switzerland,German,5.0,13.0,"Bonjour, Bonjour",1969
Lulu,United Kingdom,English,1.0,18.0,Boom Bang-a-bang,1969
Ivan,Yugoslavia,Croatian,13.0,5.0,Pozdrav Svijetu,1969
Jean Vallée,Belgium,French,8.0,5.0,Viens L'oublier,1970
Guy Bonnet,France,French,4.0,8.0,Marie Blanche,1970
Katja Ebstein,Germany,German,3.0,12.0,Wunder Gibt Es Immer Wieder,1970
Dana,Ireland,English,1.0,32.0,All Kinds Of Everything,1970
Gianni Morandi,Italy,Italian,8.0,5.0,Occhi Di Ragazza,1970
David-Alexandre Winter,Luxembourg,French,12.0,0.0,Je Suis Tombé Du Ciel,1970
Dominique Dussault,Monaco,French,8.0,5.0,Marlène,1970
Patricia and Hearts of Soul,Netherlands,Dutch,7.0,7.0,Waterman,1970
Julio Iglesias,Spain,Spanish,4.0,8.0,Gwendolyne,1970
Henri Dès,Switzerland,French,4.0,8.0,Retour,1970
Mary Hopkin,United Kingdom,English,2.0,26.0,"Knock, Knock (who's There?)",1970
Eva Sren,Yugoslavia,Slovenian,11.0,4.0,"Pridi, Dala Ti Bom Cvet",1970
Marianne Mendt,Austria,"German,Viennese",16.0,66.0,Musik,1971
Lily Castel and Jacques Raymond,Belgium,Dutch,14.0,68.0,"Goeie Morgen, Morgen",1971
Markku Aro and Koivisto Sisters,Finland,Finnish,8.0,84.0,Tie Uuteen Päivään,1971
Serge Lama,France,French,10.0,82.0,Un Jardin Sur La Terre,1971
Katja Ebstein,Germany,German,3.0,100.0,Diese Welt,1971
Angela Farrell,Ireland,English,11.0,79.0,One Day Love,1971
Massimo Ranieri,Italy,Italian,5.0,91.0,L'amore è Un Attimo,1971
Monique Melsen,Luxembourg,French,13.0,70.0,"Pomme, Pomme, Pomme",1971
Joe Grech,Malta,Maltese,18.0,52.0,Marija L-maltija,1971
Séverine,Monaco,French,1.0,128.0,"Un Banc, Un Arbre, Une Rue",1971
Saskia and Serge,Netherlands,Dutch,6.0,85.0,De Tijd,1971
Hanne Krogh,Norway,Norwegian,17.0,65.0,Lykken Er...,1971
Tonicha,Portugal,Portuguese,9.0,83.0,Menina Do Alto Da Serra,1971
Karina,Spain,Spanish,2.0,116.0,En Un Mundo Nuevo,1971
Family Four,Sweden,Swedish,6.0,85.0,Vita Vidder,1971
"Peter, Sue and Marc",Switzerland,French,12.0,78.0,Les Illusions De Nos Vingt Ans,1971
Clodagh Rodgers,United Kingdom,English,4.0,98.0,Jack In The Box,1971
Krunoslav Slabinac,Yugoslavia,Croatian,14.0,68.0,Tvoj Djecak Je Tuzan,1971
The Milestones,Austria,German,5.0,100.0,Falter Im Wind,1972
Serge and Christine Ghisoland,Belgium,French,17.0,55.0,À La Folie Ou Pas Du Tout,1972
Päivi Paunu and Kim Floor,Finland,Finnish,12.0,78.0,Muistathan,1972
Betty Mars,France,French,11.0,81.0,Comé-comédie,1972
Mary Roos,Germany,German,3.0,107.0,Nur Die Liebe Läßt Uns Leben,1972
Sandie Jones,Ireland,Irish,15.0,72.0,Ceol On Ghrá,1972
Nicola di Bari,Italy,Italian,6.0,92.0,I Giorni Dell' Arcobaleno,1972
Vicky Leandros,Luxembourg,French,1.0,128.0,Après Toi,1972
Helen and Joseph,Malta,Maltese,18.0,48.0,L-imhabba,1972
Anne-Marie Godart and Peter MacLane,Monaco,French,16.0,65.0,Comme On S'aime,1972
Sandra and Andres,Netherlands,Dutch,4.0,106.0,Als Het Om De Liefde Gaat,1972
Grethe Kausland and Benny Borg,Norway,Norwegian,14.0,73.0,Småting,1972
Carlos Mendes,Portugal,Portuguese,7.0,90.0,A Festa Da Vida,1972
Jaime Morey,Spain,Spanish,10.0,83.0,Amanece,1972
Family Four,Sweden,Swedish,13.0,75.0,Härliga Sommardag,1972
Véronique Müller,Switzerland,French,8.0,88.0,C'est La Chanson De Mon Amour,1972
The New Seekers,United Kingdom,English,2.0,114.0,"Beg, Steal Or Borrow",1972
Tereza,Yugoslavia,Croatian,9.0,87.0,Muzika I Ti,1972
Nicole and Hugo,Belgium,Dutch,17.0,58.0,"Baby, Baby",1973
Marion Rung,Finland,English,6.0,93.0,Tom Tom Tom,1973
Martine Clémenceau,France,French,15.0,65.0,Sans Toi,1973
Gitte,Germany,German,8.0,85.0,Junger Tag,1973
Maxi,Ireland,English,10.0,80.0,Do I Dream?,1973
Ilanit,Israel,Hebrew,4.0,97.0,Ey-sham,1973
Massimo Ranieri,Italy,Italian,13.0,74.0,Chi Sarà Con Te,1973
Anne-Marie David,Luxembourg,French,1.0,129.0,Tu Te Reconnaîtras,1973
Marie,Monaco,French,8.0,85.0,Un Train Qui Part,1973
Ben Cramer,Netherlands,Dutch,14.0,69.0,De Oude Muzikant,1973
Bendik Singers,Norway,"English,French",7.0,89.0,It's Just A Game,1973
Fernando Tordo,Portugal,Portuguese,10.0,80.0,Tourada,1973
Mocedades,Spain,Spanish,2.0,125.0,Eres Tú,1973
The Nova and The Dolls,Sweden,English,5.0,94.0,You're Summer,1973
Patrick Juvet,Switzerland,French,12.0,79.0,"Je Me Vais Marier, Marie",1973
Cliff Richard,United Kingdom,English,3.0,123.0,Power To All Our Friends,1973
Zdravko Colic,Yugoslavia,Bosnian,15.0,65.0,Gori Vatra,1973
Jacques Hustin,Belgium,French,9.0,10.0,Fleur De Liberté,1974
Carita,Finland,English,13.0,4.0,Äla Mene Pois (Keep Me Warm),1974
Cindy und Bert,Germany,German,14.0,3.0,Die Sommermelodie,1974
Marinella,Greece,Greek,11.0,7.0,"Krassi, Thalassa Ke T'agori Mou",1974
Tina,Ireland,English,7.0,11.0,Cross Your Heart,1974
Poogy,Israel,Hebrew,7.0,11.0,Natati La Khaiai,1974
Gigliola Cinquetti,Italy,Italian,2.0,18.0,Si,1974
Ireen Sheer,Luxembourg,"French,English",4.0,14.0,"Bye, Bye, I Love You",1974
Romuald,Monaco,French,4.0,14.0,Celui Qui Reste Et Celui Qui S'en Va,1974
Mouth and MacNeal,Netherlands,English,3.0,15.0,I See A Star,1974
Anne-Karine Ström and the Bendik Singers,Norway,English,14.0,3.0,The First Day Of Love,1974
Paulo de Carvalho,Portugal,Portuguese,14.0,3.0,E Depois Do Adeus,1974
Peret,Spain,Spanish,9.0,10.0,Canta Y Se Feliz,1974
ABBA,Sweden,English,1.0,24.0,Waterloo,1974
Piera Martell,Switzerland,German,14.0,3.0,Mein Ruf Nach Dir,1974
Olivia Newton-John,United Kingdom,English,4.0,14.0,Long Live Love,1974
Korni,Yugoslavia,Serbian,12.0,6.0,Generacija 42,1974
Ann Christy,Belgium,Dutch,15.0,17.0,Gelukkig Zijn,1975
Pihasoittajat,Finland,English,7.0,74.0,Old Man Fiddle,1975
Nicole Rieu,France,French,4.0,91.0,Et Bonjour à Toi L'artiste,1975
Joy Fleming,Germany,German,17.0,15.0,Ein Lied Kann Eine Brücke Sein,1975
The Swarbriggs,Ireland,English,9.0,68.0,That's What Friends Are For,1975
Shlomo Artzi,Israel,Hebrew,11.0,40.0,At Ve'ani,1975
Wess and Dori Ghezzi,Italy,Italian,3.0,115.0,Era,1975
Géraldine,Luxembourg,French,5.0,84.0,Toi,1975
Renato,Malta,English,12.0,32.0,Singing This Song,1975
Sophie,Monaco,French,13.0,22.0,Une Chanson C'est Une Lettre,1975
Teach-In,Netherlands,English,1.0,152.0,Ding-A-Dong,1975
Ellen Nikolaysen,Norway,English,18.0,11.0,You Touched My Life With Summer,1975
Duarte Mendes,Portugal,Portuguese,16.0,16.0,Madrugada,1975
Sergio y Estíbaliz,Spain,Spanish,10.0,53.0,Tú Volverás,1975
Lars Berghagen and the Dolls,Sweden,English,8.0,72.0,"Jennie, Jennie",1975
Simone Drexel,Switzerland,German,6.0,77.0,Mikado,1975
Semiha Yanki,Turkey,Turkish,19.0,3.0,Seninle Bir Dakika,1975
The Shadows,United Kingdom,English,2.0,138.0,Let Me Be The One,1975
Pepel In Kri,Yugoslavia,Slovenian,13.0,22.0,Dan Ljubezni,1975
Waterloo and Robinson,Austria,English,5.0,80.0,My Little World,1976
