artist,country,place_final,points_final,title,year
Kim Jackson,Ireland,10.0,47.0,Could It Be That I'm In Love,1991
Duo Datz,Israel,3.0,139.0,Kan,1991
Peppino di Capri,Italy,7.0,89.0,Comme E' Ddoce 'o Mare,1991
Sarah Bray,Luxembourg,14.0,29.0,Un Baiser Volé,1991
Paul Giordimaina and Georgina,Malta,6.0,106.0,Could It Be,1991
Just 4 Fun,Norway,17.0,14.0,Mrs. Thompson,1991
Dulce,Portugal,8.0,62.0,Lusitana Paixão,1991
Sergio Dalma,Spain,4.0,119.0,Bailar Pegados,1991
Carola,Sweden,1.0,146.0,Fångad Av En Stormvind,1991
Sandra Simò,Switzerland,5.0,118.0,Canzone Per Te,1991
"Izel Çeliköz, Rayhan Soykarçi and Can Ugurluér",Turkey,12.0,44.0,Iki Dakika,1991
Samantha Janus,United Kingdom,10.0,47.0,A Message To Your Heart,1991
Baby Doll,Yugoslavia,21.0,1.0,Brazil,1991
Simone,Austria,10.0,58.0,Keine Mauern Mehr,1990
Philippe Lafontaine,Belgium,12.0,46.0,Macédomienne,1990
Haris Anastasiou,Cyprus,14.0,36.0,Milas Poli,1990
Lonnie Devantier,Denmark,8.0,64.0,Hallo Hallo,1990
Beat,Finland,21.0,8.0,Fri?,1990
Joelle Ursull,France,2.0,132.0,White And Black Blues,1990
Chris Kempers and Daniel Kovac,Germany,9.0,60.0,Frei Zu Leben,1990
Christos Callow and Wave,Greece,19.0,11.0,Horis Skopo,1990
Stjórnin,Iceland,4.0,124.0,Eitt Lag Enn,1990
Liam Reilly,Ireland,2.0,132.0,Somewhere In Europe,1990
Rita,Israel,18.0,16.0,Shara Barechovot,1990
Toto Cutugno,Italy,1.0,149.0,Insieme: 1992,1990
Céline Carzo,Luxembourg,13.0,38.0,Quand Je Te Rêve,1990
Maywood,Netherlands,15.0,25.0,Ik Wil Alles Met Je Delen,1990
Ketil Stokkan,Norway,21.0,8.0,Brandenburger Tor,1990
Nucha,Portugal,20.0,9.0,Há Sempre Alguém,1990
Azúcar Moreno,Spain,5.0,96.0,Bandido,1990
Edin-Ådahl,Sweden,16.0,24.0,Som En Vind,1990
Egon Egemann,Switzerland,11.0,51.0,Musik Klingt In Die Welt Hinaus,1990
Kayahan,Turkey,17.0,21.0,Gözlerinin Hapsindeyim,1990
Emma,United Kingdom,6.0,87.0,Give A Little Love Back To The World,1990
Tajci,Yugoslavia,7.0,81.0,Hajde Da Ludujemo,1990
Thomas Forstner,Austria,5.0,97.0,Nur Ein Lied,1989
Ingeborg,Belgium,19.0,13.0,Door De Wind,1989
Fanny Polymeri and Yiannis Savvidakis,Cyprus,11.0,51.0,Apopse As Vrethoume,1989
Birthe Kjær,Denmark,3.0,111.0,Vi Maler Byen Rød,1989
Anneli Saaristo,Finland,7.0,76.0,La Dolce Vita,1989
Nathalie Pâque,France,8.0,60.0,J'ai Volé La Vie,1989
Nino de Angelo,Germany,14.0,46.0,Flieger,1989
Marianna,Greece,9.0,56.0,To Diko Sou Asteri,1989
Daníel Augúst Haraldsson,Iceland,22.0,0.0,Það Sem Enginn Sér,1989
Kiev Connolly and the Missing Passengers,Ireland,18.0,21.0,The Real Me,1989
Gili ve Galit,Israel,12.0,50.0,Derech Ha'melech,1989
Anna Oxa and Fausto Leali,Italy,9.0,56.0,Avrei Voluto,1989
Park Café,Luxembourg,20.0,8.0,Monsieur,1989
Justine Pelmelay,Netherlands,15.0,45.0,Blijf Zoals Je Bent,1989
Britt Synnøve Johansen,Norway,17.0,30.0,Venners Nærhet,1989
Da Vinci,Portugal,16.0,39.0,Conquistador,1989
Nina,Spain,6.0,88.0,Nacida Para Amar,1989
Tommy Nilsson,Sweden,4.0,110.0,En Dag,1989
Furbaz,Switzerland,13.0,47.0,Viver Senza Tei,1989
Pan,Turkey,21.0,5.0,Bana Bana,1989
Live Report,United Kingdom,2.0,130.0,Why Do I Always Get It Wrong,1989
Riva,Yugoslavia,1.0,137.0,Rock Me,1989
Wilfried,Austria,21.0,0.0,Lisa Mona Lisa,1988
Reynaert,Belgium,18.0,5.0,Laissez Briller Le Soleil,1988
Hot Eyes,Denmark,3.0,92.0,Ka' Du Se Hva' Jeg Sa',1988
Boulevard,Finland,20.0,3.0,Nauravat Silmät Muistetaan,1988
Gérard Lenorman,France,10.0,64.0,Chanteur De Charme,1988
Maxi and Chris Garden,Germany,14.0,48.0,Lied Für Einen Freund,1988
Aphroditi Fryda,Greece,17.0,10.0,Kloun,1988
Beathoven,Iceland,16.0,20.0,Sókrates,1988
Jump the Gun,Ireland,8.0,79.0,Take Him Home,1988
Yardena Arazi,Israel,7.0,85.0,Ben Adam,1988
Luca Barbarossa,Italy,12.0,52.0,Ti Scrivo,1988
Lara Fabian,Luxembourg,4.0,90.0,Croire,1988
Gerard Joling,Netherlands,9.0,70.0,Shangri-la,1988
Karoline Krüger,Norway,5.0,88.0,For Vår Jord,1988
Dora,Portugal,18.0,5.0,Voltarei,1988
La Década,Spain,11.0,58.0,La Chica Que Yo Quiero (made In Spain),1988
Tommy Körberg,Sweden,12.0,52.0,Stad I Ljus,1988
Céline Dion,Switzerland,1.0,137.0,Ne Partez Pas Sans Moi,1988
MFÖ,Turkey,15.0,37.0,Sufi (hey Ya Hey),1988
Scott Fitzgerald,United Kingdom,2.0,136.0,Go,1988
Srebrna Krila,Yugoslavia,6.0,87.0,Mangup,1988
Gary Lux,Austria,20.0,8.0,Nur Noch Gefühl,1987
Liliane Saint-Pierre,Belgium,11.0,56.0,Soldiers Of Love,1987
Alexia,Cyprus,7.0,80.0,Aspro Mavro,1987
Anne-Catherine Herdorf and Bandjo,Denmark,5.0,83.0,En Lille Melodi,1987
Vicky Rosti,Finland,15.0,32.0,Sata Salamaa,1987
Christine Minier,France,14.0,44.0,Les Mots D'amour N'ont Pas De Dimanche,1987
Wind,Germany,2.0,141.0,Laß Die Sonne In Dein Herz,1987
Bang,Greece,10.0,64.0,Stop!,1987
Halla Margarét,Iceland,16.0,28.0,Hægt Og Hljótt,1987
Johnny Logan,Ireland,1.0,172.0,Hold Me Now,1987
Datner and Kushnir,Israel,8.0,73.0,Shir Habatlanim,1987
Umberto Tozzi and Raf,Italy,3.0,103.0,Gente Di Mare,1987
Plastic Bertrand,Luxembourg,21.0,4.0,Amour Amour,1987
Marcha,Netherlands,5.0,83.0,Rechtop In De Wind,1987
Kate Gulbrandsen,Norway,9.0,65.0,Mitt Liv,1987
Nevada,Portugal,18.0,15.0,Neste Barco à Vela,1987
Patricia Kraus,Spain,19.0,10.0,No Estás Solo,1987
Lotta Engberg,Sweden,12.0,50.0,Boogaloo,1987
Carole Rich,Switzerland,17.0,26.0,Moitié Moitié,1987
Seyyal Tanner and Lokomotif,Turkey,22.0,0.0,Sarkim Sevgi üstüne,1987
Rikki,United Kingdom,13.0,47.0,Only The Light,1987
Novi Fosili,Yugoslavia,4.0,92.0,Ja Sam Za Ples,1987
Timna Brauer,Austria,18.0,12.0,Die Zeit Ist Einsam,1986
Sandra Kim,Belgium,1.0,176.0,J'aime La Vie,1986
Elpida,Cyprus,20.0,4.0,Tora Zo,1986
Lise Haavik and Trax,Denmark,6.0,77.0,Du Er Fuld Af Løgn,1986
Kari Kuivalainen,Finland,15.0,22.0,Päivä Kahden Ihmisen,1986
Cocktail Chic,France,17.0,13.0,Européennes,1986
Ingrid Peters,Germany,8.0,62.0,Über Die Brücke Geh'n,1986
Icy,Iceland,16.0,19.0,Gleðibankinn,1986
Luv Bug,Ireland,4.0,96.0,You Can Count On Me,1986
Moti Galadi and Sarai Tzuriel,Israel,19.0,7.0,Yavoh Yom,1986
Sherisse Laurence,Luxembourg,3.0,117.0,L'amour De Ma Vie,1986
Frizzle Sizzle,Netherlands,13.0,40.0,Alles Heeft Ritme,1986
Ketil Stokkan,Norway,12.0,44.0,Romeo,1986
Dora,Portugal,14.0,28.0,Não Sejas Mau Para Mim,1986
Cadillac,Spain,10.0,51.0,Valentino,1986
Lasse Holm and Monica Törnell,Sweden,5.0,78.0,E' De' Det Här Du Kallar Kärlek,1986
Daniela Simons,Switzerland,2.0,140.0,Pas Pour Moi,1986
Klips ve Onlar,Turkey,9.0,53.0,Halley,1986
Ryder,United Kingdom,7.0,72.0,Runner In The Night,1986
Doris Dragovic,Yugoslavia,11.0,49.0,Zeljo Moja,1986
Gary Lux,Austria,8.0,60.0,Kinder Dieser Welt,1985
Linda Lepomme,Belgium,19.0,7.0,Laat Me Nu Gaan,1985
Lia Vishy,Cyprus,16.0,15.0,To Katalava Arga,1985
Hot Eyes,Denmark,11.0,41.0,Sku' Du Spør Fra No'n,1985
Sonja Lumme,Finland,9.0,58.0,Eläköön Elämä,1985
Roger Bens,France,10.0,56.0,Femme Dans Ses Rêves Aussi,1985
Wind,Germany,2.0,105.0,Für Alle,1985
Takis Biniaris,Greece,16.0,15.0,Miazoume,1985
Maria Christian,Ireland,6.0,91.0,Wait Until The Weekend Comes,1985
Izhar Cohen,Israel,5.0,93.0,Olé Olé,1985
Al Bano and Romina Power,Italy,7.0,78.0,"Magic, Oh Magic",1985
"Margo, Franck Olivier, Diane Solomon, Ireen Sheer, Malcolm Roberts and Chris Roberts",Luxembourg,13.0,37.0,"Children, Kinder, Enfants",1985
Bobbysocks,Norway,1.0,123.0,La Det Swinge,1985
Adelaïde,Portugal,18.0,9.0,"Penso Em Ti, Eu Sei",1985
Paloma San Basilio,Spain,14.0,36.0,La Fiesta Terminó,1985
Kikki Danielsson,Sweden,3.0,103.0,Bra Vibrationer,1985
Mariella Farré and Pino Gasparini,Switzerland,12.0,39.0,Piano Piano,1985
MFÖ,Turkey,14.0,36.0,Di Dai Di Dai Dai (a'sik Oldum),1985
Vikki,United Kingdom,4.0,100.0,Love Is...,1985
Anita,Austria,19.0,5.0,Einfach Weg,1984
Jacques Zegers,Belgium,5.0,70.0,Avanti La Vie,1984
Andy Paul,Cyprus,15.0,31.0,Anna Mari-elena,1984
Hot Eyes,Denmark,4.0,101.0,Det' Lige Det,1984
Kirka,Finland,9.0,46.0,Hengaillaan,1984
Annick Thoumazeau,France,8.0,61.0,Autant D'amoureux Que D'étoiles,1984
Mary Roos,Germany,13.0,34.0,Aufrecht Geh'n,1984
Linda Martin,Ireland,2.0,137.0,Terminal '3',1984
Alice and Battiato,Italy,5.0,70.0,I Treni Di Tozeur,1984
Sophie Carle,Luxembourg,10.0,39.0,100% D'amour,1984
Maribelle,Netherlands,13.0,34.0,Ik Hou Van Jou,1984
Dollie de Luxe,Norway,17.0,29.0,Lenge Leve Livet,1984
Maria Guinot,Portugal,11.0,38.0,Silêncio E Tanta Gente,1984
Bravo,Spain,3.0,106.0,"Lady, Lady",1984
Herrey's,Sweden,1.0,145.0,Diggi-loo Diggy-ley,1984
Rainy Day,Switzerland,16.0,30.0,Welche Farbe Hat Der Sonnenschein,1984
"Bes Yil Önce, On Yil Sonra",Turkey,12.0,37.0,Halay,1984
Belle and the Devotions,United Kingdom,7.0,63.0,Love Games,1984
Vlado and Isolda,Yugoslavia,18.0,26.0,Ciao Amore,1984
Westend,Austria,9.0,53.0,Hurricane,1983
Pas de Deux,Belgium,18.0,13.0,Rendez-vous,1983
Stavros and Constantina,Cyprus,16.0,26.0,I Agapi Akoma Zi,1983
Gry Johansen,Denmark,17.0,16.0,Kloden Drejer,1983
Ami Aspelund,Finland,11.0,41.0,Fantasiaa,1983
Guy Bonnet,France,8.0,56.0,Vivre,1983
Hoffmann und Hoffmann,Germany,5.0,94.0,Rücksicht,1983
Christie Stassinopoulou,Greece,14.0,32.0,Mou Les,1983
Ofra Haza,Israel,2.0,136.0,Hi,1983
Riccardo Fogli,Italy,11.0,41.0,Per Lucia,1983
Corinne Hermès,Luxembourg,1.0,142.0,Si La Vie Est Cadeau,1983
Bernadette,Netherlands,7.0,66.0,Sing Me A Song,1983
Jahn Teigen,Norway,9.0,53.0,Do Re Mi,1983
Armando Gama,Portugal,13.0,33.0,Esta Balada Que Te Dou,1983
Remedios Amaya,Spain,19.0,0.0,¿quién Maneja Mi Barca?,1983
Carola Häggkvist,Sweden,3.0,126.0,Främling,1983
Mariella Farré,Switzerland,15.0,28.0,Io Così Non Ci Sto,1983
Çetin Alp and the Short Wave,Turkey,19.0,0.0,Opera,1983
Sweet Dreams,United Kingdom,6.0,79.0,I'm Never Giving Up,1983
Danijel,Yugoslavia,4.0,125.0,Dzuli,1983
Mess,Austria,9.0,57.0,Sonntag,1982
Stella,Belgium,4.0,96.0,Si Tu Aimes Ma Musique,1982
Anna Vishy,Cyprus,5.0,85.0,Mono I Agapi,1982
Brixx,Denmark,17.0,5.0,Video-video,1982
Kojo,Finland,18.0,0.0,Nuku Pommiin,1982
Nicole,Germany,1.0,161.0,Ein Bißchen Frieden,1982
The Duskeys,Ireland,11.0,49.0,"Here Today, Gone Tomorrow",1982
Avi Toledano,Israel,2.0,100.0,Hora,1982
Svetlana,Luxembourg,6.0,78.0,Cour Apres Le Temps,1982
Bill van Dijk,Netherlands,16.0,8.0,Jij En Ik,1982
Jahn Teigen and Anita Skorgan,Norway,12.0,40.0,Adieu,1982
Doce,Portugal,13.0,32.0,Bem-bom,1982
Lucía,Spain,10.0,52.0,Él,1982
Chips,Sweden,8.0,67.0,Dag Efter Dag,1982
Arlette Zola,Switzerland,3.0,97.0,Amour On T'aime,1982
Neço,Turkey,15.0,20.0,Hani,1982
Bardo,United Kingdom,7.0,76.0,One Step Further,1982
Aska,Yugoslavia,14.0,21.0,Halo Halo,1982
Marty Brem,Austria,17.0,20.0,Wenn Du Da Bist,1981
Emly Starr,Belgium,13.0,40.0,Samson,1981
Island,Cyprus,6.0,69.0,Monika,1981
Debbie Cameron and Tommy Seebach,Denmark,11.0,41.0,Krøller Eller Ej,1981
Riki Sorsa,Finland,16.0,27.0,Reggae O.k.,1981
Jean Gabilou,France,3.0,125.0,Humanahum,1981
Lena Valaitis,Germany,2.0,132.0,Johnny Blue,1981
Yiannis Dimitras,Greece,8.0,55.0,Feggari Kalokerino,1981
Sheeba,Ireland,5.0,105.0,Horoscopes,1981
Habibi,Israel,7.0,56.0,Halaylah,1981
Jean-Claude Pascal,Luxembourg,11.0,41.0,C'est Peut-être Pas L'amérique,1981
Linda Williams,Netherlands,9.0,51.0,Het Is Een Wonder,1981
Finn Kalvik,Norway,20.0,0.0,Aldri I Livet,1981
Carlos Paião,Portugal,18.0,9.0,Play-back,1981
Bacchelli,Spain,14.0,38.0,Y Solo Tú,1981
Björn Skifs,Sweden,10.0,50.0,Fångad I En Dröm,1981
"Peter, Sue and Marc",Switzerland,4.0,121.0,Io Senza Tei,1981
Modern Folk Trio and Aysegül,Turkey,18.0,9.0,Dönme Dolap,1981
Bucks Fizz,United Kingdom,1.0,136.0,Making Your Mind Up,1981
Seid-Memic Vajta,Yugoslavia,15.0,35.0,Leila,1981
Blue Danube,Austria,8.0,64.0,Du Bist Musik,1980
Telex,Belgium,17.0,14.0,Euro-vision,1980
Bamses Venner,Denmark,14.0,25.0,Tænker Altid På Dig,1980
Vesa-Matti Loiri,Finland,19.0,6.0,Huilumies,1980
Profil,France,11.0,45.0,"Hé, Hé M'sieurs Dames",1980
Katja Ebstein,Germany,2.0,128.0,Theater,1980
Anna Vishy and the Epikouri,Greece,13.0,30.0,Autostop,1980
Johnny Logan,Ireland,1.0,143.0,What's Another Year,1980
Alan Sorrenti,Italy,6.0,87.0,Non So Che Darei,1980
Sophie and Magaly,Luxembourg,9.0,56.0,Papa Pingouin,1980
Samira Bensaïd,Morocco,18.0,7.0,Bitakat Hob,1980
Maggie MacNeal,Netherlands,5.0,93.0,Amsterdam,1980
Sverre Kjellsberg and Mattis Hætta,Norway,16.0,15.0,Sámiid Ædnan,1980
José Cid,Portugal,7.0,71.0,"Um Grande, Grande Amor",1980
Trigo Limpio,Spain,12.0,38.0,Qué Date Esta Noche,1980
Tomas Ledin,Sweden,10.0,47.0,Just Nu!,1980
Paola,Switzerland,4.0,104.0,Cinéma,1980
Ajda Pekkan,Turkey,15.0,23.0,Petr'oil,1980
Prima Donna,United Kingdom,3.0,106.0,Love Enough For Two,1980
Christina Simon,Austria,18.0,5.0,Heute In Jerusalem,1979
Micha Marah,Belgium,18.0,5.0,Hey Nana,1979
Tommy Seebach,Denmark,6.0,76.0,Disco Tango,1979
Katri-Helena,Finland,14.0,38.0,Katso Sineen Taivaan,1979
Anne-Marie David,France,3.0,106.0,Je Suis L'enfant-soleil,1979
Dschinghis Khan,Germany,4.0,86.0,Dschinghis Khan,1979
Elpida,Greece,8.0,69.0,Socrates,1979
Cathal Dunne,Ireland,5.0,80.0,Happy Man,1979
Milk and Honey,Israel,1.0,125.0,Hallelujah,1979
Matia Bazar,Italy,15.0,27.0,Raggio Di Luna,1979
Jeane Manson,Luxembourg,13.0,44.0,J'ai Déjà Vu ça Dans Tes Yeux,1979
Laurent Vaguener,Monaco,16.0,12.0,"Notre Vie, C'est La Musique",1979
Xandra,Netherlands,12.0,51.0,Colorado,1979
Anita Skorgan,Norway,11.0,57.0,Oliver,1979
Manuela Bravo,Portugal,9.0,64.0,"Sobe, Sobe, Balão Sobe",1979
Betty Missiego,Spain,2.0,116.0,Su Canción,1979
Ted Gärdestad,Sweden,17.0,8.0,Satellit,1979
"Peter, Sue and Marc and Pfuri, Gorps and Kniri",Switzerland,10.0,60.0,Trödler Und Co.,1979
Black Lace,United Kingdom,7.0,73.0,Mary Ann,1979
Springtime,Austria,15.0,14.0,Mrs. Caroline Robinson,1978
Jean Vallée,Belgium,2.0,125.0,L'amour ça Fait Chanter La Vie,1978
Mabel,Denmark,16.0,13.0,Boom Boom,1978
Seija Simola,Finland,18.0,2.0,Anna Rakkaudelle Tilaisuus,1978
Joël Prévost,France,3.0,119.0,Il Y Aura Toujours Des Violons,1978
Ireen Sheer,Germany,6.0,84.0,Feuer,1978
Tania Tsanaklidou,Greece,8.0,66.0,Charlie Chaplin,1978
Colm T. Wilkinson,Ireland,5.0,86.0,Born To Sing,1978
Izhar Cohen and the Alphabeta,Israel,1.0,157.0,Abanibi,1978
Ricchi e Poveri,Italy,12.0,53.0,Questo Amore,1978
Baccara,Luxembourg,7.0,73.0,Parlez-vous Français?,1978
Caline and Olivier Toussaint,Monaco,4.0,107.0,Les Jardins De Monaco,1978
Harmony,Netherlands,13.0,37.0,'t Is Ok,1978
Jahn Teigen,Norway,20.0,0.0,Mil Etter Mil,1978
Gemini,Portugal,17.0,5.0,Dai-li-dou,1978
José Vélez,Spain,9.0,65.0,Bailemos Un Vals,1978
Björn Skifs,Sweden,14.0,26.0,Det Blir Alltid Värre Framåt Natten,1978
Carole Vinci,Switzerland,9.0,65.0,Vivre,1978
Nazar,Turkey,18.0,2.0,Sevinçe,1978
Co-Co,United Kingdom,11.0,61.0,The Bad Old Days,1978
Schmetterlinge,Austria,17.0,11.0,Boom Boom Boomerang,1977
Dream Express,Belgium,7.0,69.0,"A Million In One, Two, Three",1977
Monica Aspelund,Finland,10.0,50.0,Lapponia,1977
Marie Myriam,France,1.0,136.0,L'oiseau Et L'enfant,1977
Silver Convention,Germany,8.0,55.0,Telegram,1977
"Pascalis, Marianna, Robert and Bessy",Greece,5.0,92.0,Mathema Solfege,1977
The Swarbriggs Plus Two,Ireland,3.0,119.0,It's Nice To Be In Love Again,1977
Ilanit,Israel,11.0,49.0,Ah-haa-vah Hee Shir Lish-naa-yim,1977
Mia Martini,Italy,13.0,33.0,Liberà,1977
Anne Marie B.,Luxembourg,16.0,17.0,Frère Jacques,1977
Michèle Torr,Monaco,4.0,96.0,Une Petite Française,1977
Heddy Lester,Netherlands,12.0,35.0,De Mallemolen,1977
Anita Skorgan,Norway,14.0,18.0,Casanova,1977
Os Amigos,Portugal,14.0,18.0,Portugal No Coração,1977
Micky,Spain,9.0,52.0,Enseñame A Cantar,1977
Forbes,Sweden,18.0,2.0,Beatles,1977
Pepe Lienhard Band,Switzerland,6.0,71.0,Swiss Lady,1977
Lynsey de Paul and Mike Moran,United Kingdom,2.0,121.0,Rock Bottom,1977
Waterloo and Robinson,Austria,5.0,80.0,My Little World,1976
Pierre Rapsat,Belgium,8.0,68.0,Judy Et Cie.,1976
Fredi and The Friends,Finland,11.0,44.0,Pump-pump,1976
Catherine Ferry,France,2.0,147.0,"Un, Deux, Trois",1976
Les Humphries Singers,Germany,15.0,12.0,"Sing, Sang, Song",1976
Mariza Koch,Greece,13.0,20.0,"Panaghia Mou, Panaghia Mou",1976
Red Hurley,Ireland,10.0,54.0,When,1976
"Chocolate, Menta, Mastik",Israel,6.0,77.0,Emor Shalom,1976
Romina and Al Bano,Italy,7.0,69.0,We'll Live It All Again,1976
Jürgen Marcus,Luxembourg,14.0,17.0,Chansons Pour Ceux Qui S'aiment,1976
Mary Christy,Monaco,3.0,93.0,"Toi, La Musique Et Moi",1976
Sandra Reemer,Netherlands,9.0,56.0,The Party's Over Now,1976
Anne-Karine Ström,Norway,18.0,7.0,Mata Hari,1976
Carlos do Carmo,Portugal,12.0,24.0,Uma Flor De Verde Pinho,1976
Braulio,Spain,16.0,11.0,Sobran Las Palabras,1976
"Peter, Sue and Marc",Switzerland,4.0,91.0,"Djambo, Djambo",1976
Brotherhood of Man,United Kingdom,1.0,164.0,Save Your Kisses For Me,1976
Ambasadori,Yugoslavia,17.0,10.0,Ne Mogu Skriti Svoju Bol,1976
Ann Christy,Belgium,15.0,17.0,Gelukkig Zijn,1975
Pihasoittajat,Finland,7.0,74.0,Old Man Fiddle,1975
Nicole Rieu,France,4.0,91.0,Et Bonjour à Toi L'artiste,1975
Joy Fleming,Germany,17.0,15.0,Ein Lied Kann Eine Brücke Sein,1975
